"fish1_id","fish2_id","distance_km","row_number"
"1469","1509",26.8308355293482,1
"784","2263",27.5730699499117,2
"709","2557",0.0219384772064154,3
"985153000403655","654",0.29304429037646,4
"604","2213",2.30016081824093,5
"982126052951199","901",0.916523913672785,6
"2031","1489",27.2148658263959,7
"985153000405499","1556",25.0357717385644,8
"986112100176592","994",27.3428679051682,9
"1948","986112100172683",12.044863853763,10
"985153000403244","2156",0.116650528084985,11
"182","954",0.779724668947484,12
"1426","1617",25.7786862786851,13
"1680","784",27.7222671399922,14
"307","985153000404845",0.273855261607818,15
"2421","302",2.36340128309637,16
"1630","2684",26.8456354001097,17
"1663","1840",10.013986186794,18
"982126052950826","2523",25.098866410815,19
"793","1892",18.3976090531581,20
"456","1611",27.0705089067582,21
"500","130",0.201025756848995,22
"982126052951035","985153000355759",1.25077059635754,23
"838","982126052697373",2.23669416321368,24
"524","997",0.174828551565976,25
"1637","1909",17.7729664821367,26
"349","522",8.07386052753876,27
"1367","982000411818458",7.31631645531988,28
"2048","2139",25.4229434818601,29
"985153000352991","2181",26.1800736355487,30
"2318","2147",27.3502808226099,31
"1326","982000411818481",1.40043915045399,32
"982126052697434","2610",10.5198722186369,33
"439","79",1.69061091779545,34
"888","985153000356701",NA,35
"503","1755",6.41381465151307,36
"1283","645",16.7929594829848,37
"1","633",27.2626206548425,38
"1575","30",27.2608997592827,39
"982126052697415","2303",26.0157219927821,40
"1459","451",27.4166333279078,41
"2679","251",2.05158907098778,42
"1113","2598",0.326690044695685,43
"1432","1752",9.89350357745696,44
"544","1576",25.2920223590587,45
"1482","1400",27.8067112062073,46
"1872","1683",27.5598542611748,47
"986112100165331","400",0.284874950978859,48
"2008","2107",15.9627989300899,49
"467","1817",0.322462102534803,50
"982126052951253","206",0.441059504382302,51
"986112100169546","507",25.81316454377,52
"638","2369",0.48345259641535,53
"866","767",14.2274393940328,54
"2713","1404",27.7290477590044,55
"1301","134",1.30836430161817,56
"2559","1766",2.22207560373153,57
"1703","1742",27.5147689628333,58
"985153000405582","1597",0.253932011500144,59
"985153000355859","986112100164061",2.28748755688298,60
"1883","910",13.3913878857455,61
"1467","2699",0.370903388646832,62
"995","2491",2.2340662133798,63
"1970","1516",14.7879789017276,64
"985153000371973","914",1.58112019908256,65
"1697","982126052697435",0.0710513807966296,66
"982126052950995","397",26.6184664147048,67
"1370","2397",27.6713366263997,68
"1204","985153000401598",0.259294316890199,69
"812","490",12.3148479220262,70
"986112100163658","2148",27.1027570156178,71
"1415","986112100176688",27.3646701983755,72
"985153000407650","682",1.30795871769608,73
"2373","899",27.4125539385537,74
"1420","1507",0.182401839170529,75
"986112100173961","985153000370608",1.89398096025102,76
"2255","1017",11.4802314575946,77
"2040","676",0.0232523659201861,78
"982000411818578","508",26.8961381883899,79
"386","661",27.1458464982239,80
"685","1594",0.227745961019288,81
"982126052697366","412",0.267714712408952,82
"1294","986112100163881",13.5682422974758,83
"85","252",0.129043123868127,84
"232","16",0.338944554932087,85
"630","832",0.118952602433758,86
"1736","2700",0.444204836051677,87
"2289","229",15.0634967780701,88
"1441","413",15.0845540958093,89
"1934","784",27.7295828120356,90
"1234","808",8.56425726058846,91
"1200","2041",0.0805689759780777,92
"982126052951010","1170",11.401106308527,93
"1582","661",26.5998502143701,94
"1781","1955",0.432543783361381,95
"986112100171872","2095",14.623969942441,96
"2146","982126052951085",27.1980025277489,97
"1769","1257",14.86877243104,98
"538","2012",25.2779930387483,99
"409","1666",0.00574887906493196,100
"2261","1889",9.75533833797109,101
"798","125",26.7122079684165,102
"753","1010",27.6043493645431,103
"806","930",8.01681373697642,104
"1683","1866",27.6772298458778,105
"316","941",27.029679547179,106
"1716","1695",0.85419915552606,107
"1892","46",4.07734377594453,108
"1447","982126052951190",10.152006417275,109
"777","668",14.5980997010458,110
"903","976",15.2274405360099,111
"917","694",23.3804612117353,112
"80","1903",24.1697577212368,113
"2559","982000411818627",26.5242553182727,114
"2183","1031",25.6886613011333,115
"1474","982000411818615",0.689672479656512,116
"982126052697435","1150",26.0062962088557,117
"2149","1843",27.2978602000756,118
"897","165",16.2206098687755,119
"1338","783",25.1128656239375,120
"909","1917",0.0716824367948223,121
"192","444",27.6160361502669,122
"985153000403761","802",7.68299719780575,123
"662","982126052951082",27.0288880556123,124
"716","1193",5.76733406054869,125
"683","1558",13.6639811387236,126
"1125","1912",0.948182185789945,127
"625","1126",25.9246856057098,128
"2001","465",26.9971235597148,129
"986112100166792","668",0.400697264174546,130
"879","1818",13.6286996969352,131
"206","985153000404328",0.0746220429331259,132
"1630","1430",0.91987824399775,133
"498","13",0.0511079130906873,134
"985153000400570","982000411818437",8.68717926395,135
"985153000407358","320",0.044574422418884,136
"982000411818488","1841",27.7055930181616,137
"1339","1304",25.0870305608084,138
"2216","986112100171977",27.4261804155107,139
"116","2063",12.4090010157309,140
"982126052697458","374",0.751292504871777,141
"1731","1645",2.24047390238513,142
"617","665",0.813583412797342,143
"1311","2540",0.458947620932212,144
"1544","1250",27.7043374597113,145
"1297","2197",1.03163307640155,146
"431","750",2.10540143512835,147
"985153000403514","1220",0.717319408137237,148
"1161","982000411818543",0.698057057858789,149
"255","330",14.3502982732398,150
"2276","985153000402908",7.82925894741782,151
"1399","2297",25.2616608499036,152
"1179","986112100168321",25.8800820555379,153
"347","2080",25.7846947239714,154
"787","1593",26.818924714725,155
"1532","985153000356146",26.9895972969605,156
"982126052697361","420",1.42766601555072,157
"1862","986112100171987",0.0685065240055277,158
"986112100165220","668",9.00147189723569,159
"756","1732",0.486809518731047,160
"1250","829",1.9317991496812,161
"982126052951002","1863",27.4255145565532,162
"2407","2393",9.49352979660034e-05,163
"1252","2170",0.869660019610737,164
"1919","816",9.67420804531437,165
"982126052697383","2051",0.867499154286444,166
"9","2054",15.4018089264253,167
"2186","329",0.358079810651236,168
"982126052951013","1797",2.03622512878629,169
"982126052950805","543",27.3801128961532,170
"982000411818722","982000411818531",26.5709776813704,171
"986112100172604","2149",27.7900465030565,172
"2144","1888",16.2346520486498,173
"1684","206",27.5760870792709,174
"1464","318",16.5253191136414,175
"669","2010",0.550957989547862,176
"1775","1091",2.2335431459897,177
"2154","24",27.0453216591379,178
"2079","1394",2.24579657977613,179
"1103","357",27.7518492300364,180
"2290","519",2.32649991486451,181
"492","754",25.2036844678071,182
"1012","1188",1.57376796309815,183
"1656","1682",26.135718508197,184
"1313","1655",14.9745183065019,185
"986112100166045","2079",2.1782174871598,186
"178","1420",0.987192309895337,187
"2532","2132",27.4073532793719,188
"1919","2115",0.292976036070698,189
"985153000400989","2318",0.302969847100245,190
"794","461",25.9591619384838,191
"1357","982126052697395",27.402845566707,192
"836","1066",1.56405506186661,193
"728","1799",16.5411107302298,194
"986112100174777","1696",0.0600040651745881,195
"532","982126052951075",0.151132074585547,196
"1648","1335",8.77872686365596,197
"2044","1259",1.33017068060856,198
"982126052697437","431",27.1836400291776,199
"223","894",14.159929287307,200
"740","2762",14.4926218614076,201
"985153000404281","489",0.387053841128191,202
"1155","766",0.464002268492073,203
"5","1913",26.83537350139,204
"501","1112",27.0071172766866,205
"648","786",0.271040757871207,206
"2333","315",18.4236209572151,207
"1984","274",8.49629427468719,208
"1415","1080",9.32970671961712,209
"1355","142",27.7970794718639,210
"1751","985153000407337",0.349710854579051,211
"2490","376",25.2947590193748,212
"982126052951207","1559",1.45812190388588,213
"746","734",1.46098381297521,214
"739","21",27.2355812970641,215
"982126052951219","1222",1.60337376923722,216
"913","2232",26.7330712776116,217
"469","462",0.0564791622774251,218
"2767","657",2.11690095450937,219
"982126052951270","986112100177486",0.0721209656224311,220
"2203","986112100171850",18.1957590046696,221
"1507","1963",27.4635286567517,222
"1369","985153000407358",0.163451511620457,223
"1699","499",0.135198164126917,224
"806","434",10.292210794853,225
"1049","982000411818450",9.0506342570116,226
"2049","2235",27.3740092147257,227
"521","1591",25.3454308874717,228
"1085","986112100173180",18.5537669087141,229
"754","985153000354119",26.0820832197202,230
"752","417",1.17503474464881,231
"799","193",27.3963302710135,232
"2255","985153000403636",13.6835406208704,233
"2184","2281",1.6091784162518,234
"1101","982126052951253",27.286207846381,235
"201","1922",1.08938995827464,236
"425","2297",24.7170634070666,237
"328","2284",24.5829923705402,238
"451","1513",27.3544781001923,239
"982126052697437","1949",12.204596979535,240
"7","985153000355216",25.9746378447333,241
"982126052697434","2230",0.832928724181422,242
"2312","771",27.3728828264638,243
"1815","821",25.9238134530574,244
"1504","1706",0.175755237842011,245
"1087","1338",0.171023930170993,246
"1230","2057",0.806498908639515,247
"1225","2749",13.2589418546394,248
"2103","985153000376041",16.7212330298193,249
"1257","1335",14.9934237715689,250
"606","985153000400903",0.912719538367005,251
"610","982126052951069",0.219129320803481,252
"2224","986112100168403",0.102126379278843,253
"1820","2029",20.2059826728637,254
"9","365",1.20272537401382,255
"1587","1765",25.6759787306003,256
"2689","1422",26.5665022517685,257
"2532","1920",0.274525584842441,258
"1798","985153000371638",4.15024399963182,259
"2062","985153000403740",1.96080431568836,260
"620","1400",0.0985180505593807,261
"985153000372637","985153000404281",1.76492341719079,262
"986112100171890","1988",25.5257885981102,263
"1580","1936",0.945818734382591,264
"1313","1440",12.2922040485962,265
"2648","1071",0.0733105222060217,266
"817","732",9.20464016486781,267
"985153000356146","2",0.1028322828254,268
"985153000404797","556",13.9075457455614,269
"1423","2747",0.0123335531328428,270
"962","982126052950993",24.6817368350406,271
"2712","2020",0.958558380738428,272
"985153000371511","2570",25.9090359790029,273
"1723","1975",14.1969808073757,274
"710","982126052697426",26.7373368326824,275
"703","1889",16.0415064564407,276
"986112100176895","1268",24.21672032731,277
"1443","985153000404045",27.5452631197276,278
"593","74",13.7948363985636,279
"763","982000411818483",0.0693439805892194,280
"1433","847",0.145655561823161,281
"673","2267",0.15671181020107,282
"897","982126052697392",16.2149100981111,283
"2639","181",23.3028021463724,284
"1384","986112100171939",18.6112481020166,285
"384","1725",26.8288163491449,286
"2483","861",14.2614134649838,287
"2204","2049",25.7789688512787,288
"1937","2619",27.7596600966021,289
"2618","1110",0.687165918825121,290
"2282","82",8.51066300531205,291
"253","1107",27.7965528260396,292
"983","1027",2.20114776825951,293
"356","985153000403215",27.3243884428511,294
"2523","917",0.201990056701976,295
"1629","1274",26.8907349594645,296
"641","986112100173703",21.9660303402454,297
"1897","320",16.6067302476168,298
"2111","1621",10.4321052781085,299
"2162","1519",26.9677508812004,300
"833","433",1.37027270476133,301
"985153000403031","975",1.21490087140989,302
"164","231",27.0489251556927,303
"575","802",10.3784288042118,304
"2289","1720",26.5216251323516,305
"1221","1163",0.533252937844277,306
"897","2228",10.0341016902524,307
"904","202",27.2971784944939,308
"1994","168",0.798688027409215,309
"810","1985",0.0339819304434097,310
"2066","986112100170397",24.9824792730425,311
"982126052951207","6",25.4160331812051,312
"2612","483",0.150613556192763,313
"423","1585",26.5346887307218,314
"985153000354270","639",1.80173825672721,315
"2196","959",27.128075651231,316
"1398","982126052951018",0.906774880708507,317
"469","982000411818481",27.3441768669523,318
"1785","985153000405736",26.8653109616733,319
"985153000375999","2210",27.4444366785576,320
"982126052951004","982126052951082",25.190316766105,321
"985153000407280","1293",0.959183372801857,322
"1251","982126052697369",15.6869481796542,323
"1745","1280",0.167369799491882,324
"1544","1880",13.4487339767663,325
"1925","986112100165331",27.6579637768884,326
"1953","2650",0.119999305677933,327
"1505","986112100171977",0.309759926174836,328
"1682","71",0.0913138903010103,329
"822","1561",24.6916079144486,330
"525","2659",0.165843623859981,331
"407","2012",27.1000250264751,332
"954","575",26.8797226866995,333
"2006","1912",0.120614614220271,334
"958","982000411818507",5.7609545327976,335
"1951","414",25.7793442679381,336
"985153000406261","2408",25.6736111038887,337
"1663","499",27.1608921241263,338
"453","2609",27.2755082746651,339
"210","986112100164894",7.31634722231069,340
"1387","571",14.9879848415109,341
"2104","1838",26.7192618501382,342
"1584","1519",26.194132354926,343
"985153000403215","803",9.96249070561409,344
"298","1610",12.1113902235207,345
"648","1466",0.0345709204541108,346
"1829","1934",13.8014799561126,347
"1915","986112100168321",26.789692594713,348
"986112100169546","1585",0.710977304861229,349
"781","1276",13.5446791114225,350
"269","1599",27.1418982031112,351
"765","1238",25.9110685518469,352
"2599","1454",13.0046263572317,353
"1112","718",1.68786259964387,354
"2230","599",0.398940623996011,355
"982126052951273","2418",27.6328147659326,356
"813","1906",4.66355032031644,357
"985153000354371","2046",0.267614926533034,358
"1696","2697",27.261756418989,359
"595","1098",27.6594892851498,360
"290","755",1.83313939517752,361
"695","501",2.17424628696067,362
"1873","2391",15.4673632873354,363
"1506","346",19.6622613700519,364
"1378","1217",26.1222891788439,365
"985153000355034","982126052697394",27.4264403429615,366
"203","982126052951289",24.8653353274701,367
"982126052951012","21",26.969852680351,368
"982000411818575","982000411818543",0.00315865016351648,369
"1928","844",25.3692797663647,370
"580","1889",18.3833429741569,371
"195","155",1.90249597627697,372
"1932","985153000355216",26.1832855753666,373
"38","1255",11.3880122035766,374
"1788","985153000400062",1.68484982612557,375
"2261","575",9.12453393900588,376
"1282","901",0.109704997406277,377
"861","1953",0.153136609426193,378
"982126052697437","558",27.4653314246876,379
"518","1460",13.8880262068427,380
"1491","2188",27.0347011156474,381
"2601","1332",25.9625118714801,382
"982126052951085","1806",2.23066400715108,383
"1578","2147",0.135782336243673,384
"985153000405147","340",24.2303208885202,385
"1845","312",14.6838080066341,386
"102","2751",1.72193317369476,387
"974","600",15.2867344266264,388
"919","74",24.2061541014404,389
"1876","985153000405229",14.2343918484279,390
"106","1626",14.8708398902649,391
"1113","718",1.90749011741508,392
"985153000407650","639",1.74432875434371,393
"982126052951220","532",0.408386802919762,394
"1814","631",5.75144068140615,395
"403","982126052697442",27.2199274099993,396
"451","338",27.5876210451141,397
"1191","1465",13.9105102534697,398
"1303","1367",1.85337425834852,399
"707","982126052697376",0.165372329680449,400
"2311","986112100172191",0.0382249877383103,401
"494","9",13.3565608209137,402
"1535","683",14.4068933098173,403
"982126052697423","2284",0.609189103478845,404
"982126052697460","169",16.2290750152931,405
"985153000405736","538",25.8813693809342,406
"711","2188",0.187844643200055,407
"860","2491",25.4909495515528,408
"2373","1435",0.489917530618336,409
"1005","1419",2.32296248393387,410
"2314","1919",27.0736931958545,411
"1095","43",15.1875588531942,412
"1800","409",27.2629504318221,413
"986112100169386","1938",0.130469839388423,414
"873","986112100172142",19.9218089553813,415
"2361","1480",0.15522382822961,416
"1647","982126052951069",13.487253148287,417
"1071","986112100165640",10.2995290033455,418
"415","230",21.9441399031904,419
"982000411818488","1364",10.2348453753438,420
"1873","1846",2.25232379590613,421
"1734","291",15.0322663169169,422
"1777","1694",25.5022979287723,423
"2193","1588",10.5184747417994,424
"705","203",1.90704597181996,425
"606","320",0.931305664167496,426
"904","1777",25.3011205832632,427
"986112100172025","325",27.4337958831332,428
"1427","164",27.1389479382637,429
"859","1327",25.6484614740865,430
"236","934",2.44992831364712,431
"1281","925",2.27454285747284,432
"751","674",25.8844707214761,433
"986112100172395","1395",19.4414545951348,434
"295","1416",14.1291676936341,435
"794","265",27.5656248113079,436
"1923","2194",27.2282642227779,437
"2191","1970",4.53024482373308,438
"986112100168091","2135",10.3399687703283,439
"1882","982126052950805",13.7523211259237,440
"1795","1852",0.0745988499279047,441
"908","1703",26.9254076659388,442
"1865","986112100172006",0.138306914939984,443
"168","2644",27.6390678765028,444
"2428","1536",0.2309777555532,445
"812","1943",14.1979490483596,446
"1317","540",25.9314855939571,447
"1202","2684",1.75514149046821,448
"1339","2739",25.2723055057696,449
"1","456",27.1937295322719,450
"1188","2032",25.3178067054468,451
"113","982000411818627",26.7747997809812,452
"1809","986112100165640",0.0455503477338428,453
"982000411818507","11",22.6779792861899,454
"630","912",1.77114324802403,455
"1541","985153000405590",0.137698012701408,456
"24","861",27.2707057580915,457
"1495","1527",19.5602281748706,458
"1138","216",1.78596509536205,459
"1140","333",2.64830792911025,460
"985153000406307","1863",0.0538850443099633,461
"982126052950993","232",26.5451741784206,462
"985153000403031","927",1.69393749921662,463
"1674","2092",0.388095916157367,464
"986112100165961","254",1.70964992492879,465
"676","700",2.42905587870154,466
"1330","208",4.22538954663446,467
"2173","666",27.5284219869122,468
"1801","985153000402633",27.1092858186079,469
"662","2107",16.6953620024954,470
"39","614",14.2500028053405,471
"1026","949",27.6787409993744,472
"375","1791",5.78767825707251,473
"594","2193",18.165529935308,474
"1157","2243",1.62726345765484,475
"1538","985153000400903",27.5323964387781,476
"1346","985153000371370",14.9765744203032,477
"985153000405736","272",25.7366123453775,478
"1315","617",1.81311448160286,479
"139","1468",13.9123123641186,480
"1058","646",0.364453802169154,481
"985153000405493","92",0.0737327690434955,482
"629","1734",0.420996495596116,483
"1957","1374",27.0977678148875,484
"1864","2128",0.387086101731551,485
"1797","1700",27.6821185489136,486
"955","1037",26.9894927035277,487
"645","2009",16.0229939598197,488
"1874","982126052951087",26.7275636225405,489
"982000411818578","543",27.0646927933025,490
"2366","833",25.9297414270428,491
"2311","1318",26.0349291087172,492
"1829","1624",1.44896842400899,493
"1145","441",1.54451804881284,494
"1995","2279",1.01021788621748,495
"1423","982000411818672",26.5291686182069,496
"982126052950839","998",0.023928968689426,497
"985153000400989","2634",27.6659306540195,498
"1294","174",13.0676146094534,499
"389","1624",16.7180949803625,500
